"","ESTs.94","antigen.identified.by.monoclonal.antibodies.12E7..F21.and.O13","transmembrane.protein","sarcoglycan..alpha..50kD.dystrophin.associated.glycoprotein.","Fc.fragment.of.IgG..receptor..transporter..alpha","insulin.like.growth.factor.2..somatomedin.A.","Human.DNA.for.insulin.like.growth.factor.II..IGF.2...exon.7.and.additional.ORF","fibroblast.growth.factor.receptor.4","microtubule.associated.protein.1B","V554","y"
"40",0.262405788962066,-1.00228526681898,1.27274453070559,-0.322929779133939,-0.648052986523985,-0.275353132363113,-0.182635883017411,-0.526202566769412,0.784457231990243,-0.469086972745094,"NB"
"77",0.67148979662014,-0.594473835956226,-0.599504093477204,0.775241748887157,-0.373400690812927,0.684309694740814,0.849832851492782,3.01388131823968,0.0184083144129988,1.0379453117634,"RMS"
"25",0.349653085861323,-0.614064414856923,-0.362581525656052,-0.184284465033121,-0.713105519298712,-0.637896479258376,-0.663143172588608,-0.496043246640939,-0.526854533306962,-0.487468140595739,"BL"
"56",-0.828784373973612,-0.392706714717514,-0.582191073815318,2.80460128909255,-0.707328653453852,0.508719875105929,0.172401414572291,1.3075268762192,-0.512668442240716,1.65195453571047,"RMS"
"82",-0.288929246249145,-0.967698126172196,-0.754315534852153,-0.481173475743756,-0.877055483656639,-0.631621339505343,-0.659913217981937,-0.636358948798939,-0.754853869808098,-0.491267287750279,"BL"
"66",0.764127658774043,-0.761917840522559,1.27454048710206,-0.582608347378166,-0.855015484618097,-0.550318346996039,-0.642784150200812,-0.671705244197733,2.84384485881042,-0.49696600848209,"NB"
"52",0.0852159125362285,-0.738419706800699,-0.229752590573786,0.579125502293735,-0.567616408836316,0.2062353203197,0.729706029099983,0.78455143143824,-0.581555138689518,-0.048052076324244,"RMS"
"24",0.728090731793915,-0.98607419479064,-0.787576647314613,-0.373912057958023,-0.821924090050258,-0.623269698961305,-0.670118500090249,-0.455349554056245,-0.730028210442169,-0.475567870832251,"BL"
"32",0.802260916686533,-0.702670860666543,1.98272201335461,-0.580224760316261,-0.73194312531456,0.233161374532716,0.118608925883525,-0.569249114115902,1.41724104832229,-0.488697276439855,"NB"
"78",1.35918616771738,-0.318621587500054,2.67940941866981,-0.524342885864928,-0.604663700667483,-0.607319434643595,-0.503638392969794,-0.553474292417499,2.02033025030381,-0.412881942782332,"NB"
"2",-0.837568998833034,1.17152972403004,-0.222496926732083,-0.624585963968385,0.547193115181544,-0.604604010532282,-0.605570949785652,-0.495668928837926,-0.0490958392623969,-0.398691010763901,"EWS"
"18",-0.96434710759969,0.546637781413201,-0.290599593285889,-0.479981682212804,1.61855056132285,-0.616492548028029,-0.662696476738749,-0.542405180242687,-0.695945525549961,-0.390534018343858,"EWS"
"22",-0.99259766254533,1.74530662520246,0.308890651852835,-0.505406610873126,1.3574613419432,-0.624775732502033,-0.653848462789623,-0.394389226136993,-0.745957507614012,-0.424558733301434,"EWS"
"46",-0.630830838789142,-0.914470892932567,-0.593972547776103,0.587865321520721,-0.017055977013144,-0.224284904118425,1.26816351488556,1.86723893966728,-0.655911895676574,-0.272090018819946,"RMS"
"65",3.13078545612827,1.49395580157088,-0.558412611126173,4.10352381632744,0.917477657433055,1.87790973183783,3.49633395581012,0.00618429705872859,-0.249804983627621,2.53933474535118,"RMS"
"81",0.148305491072076,-0.555292678154833,3.02854334214185,-0.488456658432911,-0.605605580968275,-0.611495254915613,-0.592444964043647,-0.559623799181283,4.55543281228613,-0.379415925935717,"NB"
"49",0.376705737417043,-0.818471775839665,0.417294579943229,1.71119693519526,-0.715679992120878,0.514401728918676,0.15025560878506,1.61430705277424,-0.425327805294723,1.10627409073403,"RMS"
"60",-0.164247468414852,-0.386106115357441,-0.435712870119949,0.882105902162573,-0.509408206247347,1.87110976221454,1.00803190478124,3.47135114749337,0.437799659197715,1.13884619060311,"RMS"
"76",-0.719475689643307,-0.526883698509078,-0.797705841390654,-0.542617053339534,-0.861357478643433,-0.635797159777362,-0.670238764357519,-0.679405496145428,-0.755935859804676,-0.439922931352885,"BL"
"11",-0.922121013104969,0.74629271085669,-0.79511966417975,-0.593731753667057,1.08117645371077,-0.563461912442393,-0.505803149780648,-0.627910061245218,-0.613654175254666,-0.409809103172042,"EWS"
"17",-0.931504589659351,0.109519689391724,-0.578383646254821,-0.619951211348014,0.548386163562548,-0.62381734752157,-0.634709263684134,-0.476311351024971,-0.375916928784327,-0.459365625614358,"EWS"
"13",-0.874304702790616,0.0953151995688466,-0.437652503028127,-0.543411582360169,1.98896068761447,-0.609806671854797,-0.587101794454951,-0.543046867904995,0.279829119697323,-0.322708067673089,"EWS"
"53",2.04847974333451,-0.533114664304987,-0.404750581844959,0.948184232378722,-0.494903249615144,0.0426024942505951,0.0897798629580216,1.11261424879317,-0.200754770449417,-0.399417318308151,"RMS"
"16",-0.762700036962962,0.353530646534904,0.159036050132119,-0.630412510119709,0.157694214793869,-0.625848210932552,-0.655154189119979,-0.585237831701741,-0.522947347208208,-0.44791231433964,"EWS"
"83",-0.947077333728326,0.483747270710425,-0.670049260730197,-0.337496144512249,2.08465572617497,-0.5835423596521,-0.573271403718938,-0.628605222879385,-0.691557455008284,-0.442772291718791,"EWS"
"41",-0.466817899652437,-0.705522319590095,0.801844763553486,-0.617832467292987,-0.62481993910444,-0.571745096916397,-0.521403143306486,-0.628712170823103,0.133339696271732,-0.487188791540258,"NB"
"50",0.503982972596165,-0.56321339738692,-0.274364147461881,0.721743461497729,-0.726919763710334,0.767940193631243,0.377263003561384,1.48040822723932,-0.46998994793125,-0.362208024118092,"RMS"
"61",-0.674554312521264,-0.759224795983649,-0.130041091442265,0.843173980151455,-0.522406154398282,0.969885600228869,0.429870030187064,0.70268278052212,-0.627900376876276,0.284876127997922,"RMS"
"73",-0.858632133439148,1.60315611738393,-0.737505382981277,-0.543014317849852,0.682509918395383,0.431181966448445,0.599253660331601,-0.501818435601711,0.144700591235801,-0.375840258025561,"EWS"
"70",-0.905550016211059,-0.112735692260656,-0.691385222720155,-0.258175663952182,0.730608605755847,-0.54171570086188,-0.505768788561428,-0.596467365792129,-0.0290790243257035,-0.450426455838968,"EWS"
"79",1.13767386586446,-0.283295179724943,1.79680460719295,-0.512160107548524,-0.232181437714123,-0.519604390241191,-0.0720271183485263,-0.55657578278532,1.55188869234089,-0.415060865415083,"NB"
"12",-0.916730447850324,1.99982573652688,-0.602736814990834,-0.552283823090594,1.68109141329546,-0.556000200808786,-0.574783297364614,-0.661652137488243,-0.476902661798276,-0.394333165498398,"EWS"
"64",1.73363080235023,-0.517642859404976,2.11684403704233,-0.571617362592714,-0.800512011212245,-0.470635481477518,-0.556279780814693,-0.487220041284205,0.934132514850203,-0.466349352001381,"NB"
"55",0.577254729946343,-0.0882870722309451,-0.570409599854533,1.54474310537222,-0.301754995932654,1.17648601958874,0.713917048868435,2.22658403055972,-0.664086931206275,1.77118071258973,"RMS"
